( 0 , 0 ) (0, 0, 0)
( 2 , 35 ) (0, 0, 0)
( 2 , 36 ) (0, 0, 0)
( 2 , 37 ) (0, 0, 0)
( 2 , 38 ) (0, 0, 0)
( 2 , 39 ) (0, 0, 0)
( 2 , 40 ) (0, 0, 0)
( 2 , 41 ) (0, 0, 0)
( 2 , 42 ) (0, 0, 0)
( 2 , 43 ) (0, 0, 0)
( 2 , 44 ) (0, 0, 0)
( 2 , 45 ) (0, 0, 0)
( 2 , 46 ) (0, 0, 0)
( 2 , 47 ) (0, 0, 0)
( 3 , 0 ) (0, 0, 0)
( 3 , 1 ) (0, 0, 0)
( 3 , 2 ) (0, 0, 0)
( 3 , 3 ) (0, 0, 0)
( 3 , 4 ) (0, 0, 0)
( 3 , 5 ) (0, 0, 0)
( 3 , 6 ) (0, 0, 0)
( 3 , 7 ) (0, 0, 0)
( 3 , 8 ) (0, 0, 0)
( 3 , 9 ) (0, 0, 0)
( 3 , 10 ) (0, 0, 0)
( 3 , 11 ) (0, 0, 0)
( 3 , 12 ) (0, 0, 0)
( 3 , 13 ) (0, 0, 0)
( 3 , 14 ) (0, 0, 0)
( 3 , 15 ) (0, 0, 0)
( 3 , 16 ) (0, 0, 0)
( 3 , 17 ) (0, 0, 0)
( 3 , 18 ) (0, 0, 0)
( 3 , 19 ) (0, 0, 0)
( 3 , 20 ) (0, 0, 0)
( 3 , 21 ) (0, 0, 0)
( 3 , 22 ) (0, 0, 0)
( 3 , 23 ) (0, 0, 0)
( 3 , 24 ) (0, 0, 0)
( 3 , 25 ) (0, 0, 0)
( 3 , 26 ) (0, 0, 0)
( 3 , 27 ) (0, 0, 0)
( 3 , 28 ) (0, 0, 0)
( 3 , 29 ) (0, 0, 0)
( 3 , 30 ) (0, 0, 0)
( 3 , 31 ) (0, 0, 0)
( 3 , 32 ) (0, 0, 0)
( 3 , 33 ) (0, 0, 0)
( 3 , 34 ) (0, 0, 0)
( 3 , 35 ) (0, 0, 0)
( 3 , 36 ) (0, 0, 0)
( 3 , 37 ) (0, 0, 0)
( 3 , 38 ) (0, 0, 0)
( 3 , 39 ) (0, 0, 0)
( 3 , 40 ) (0, 0, 0)
( 3 , 41 ) (0, 0, 0)
( 3 , 42 ) (0, 0, 0)
( 3 , 43 ) (0, 0, 0)
( 3 , 44 ) (0, 0, 0)
( 3 , 45 ) (0, 0, 0)
( 3 , 46 ) (0, 0, 0)
( 3 , 47 ) (0, 0, 0)
( 4 , 0 ) (0, 0, 0)
( 4 , 1 ) (0, 0, 0)
( 4 , 2 ) (0, 0, 0)
( 4 , 3 ) (0, 0, 0)
( 4 , 4 ) (255, 193, 7)
( 4 , 5 ) (255, 193, 7)
( 4 , 6 ) (255, 193, 7)
( 4 , 7 ) (255, 193, 7)
( 4 , 8 ) (255, 193, 7)
( 4 , 9 ) (255, 193, 7)
( 4 , 10 ) (255, 193, 7)
( 4 , 11 ) (255, 193, 7)
( 4 , 12 ) (255, 193, 7)
( 4 , 13 ) (255, 193, 7)
( 4 , 14 ) (255, 193, 7)
( 4 , 15 ) (255, 193, 7)
( 4 , 16 ) (0, 0, 0)
( 4 , 17 ) (0, 0, 0)
( 4 , 18 ) (124, 179, 66)
( 4 , 19 ) (124, 179, 66)
( 4 , 20 ) (124, 179, 66)
( 4 , 21 ) (124, 179, 66)
( 4 , 22 ) (124, 179, 66)
( 4 , 23 ) (124, 179, 66)
( 4 , 24 ) (124, 179, 66)
( 4 , 25 ) (124, 179, 66)
( 4 , 26 ) (124, 179, 66)
( 4 , 27 ) (124, 179, 66)
( 4 , 28 ) (124, 179, 66)
( 4 , 29 ) (124, 179, 66)
( 4 , 30 ) (0, 0, 0)
( 4 , 31 ) (0, 0, 0)
( 4 , 32 ) (21, 101, 192)
( 4 , 33 ) (21, 101, 192)
( 4 , 34 ) (21, 101, 192)
( 4 , 35 ) (21, 101, 192)
( 4 , 36 ) (21, 101, 192)
( 4 , 37 ) (21, 101, 192)
( 4 , 38 ) (21, 101, 192)
( 4 , 39 ) (21, 101, 192)
( 4 , 40 ) (21, 101, 192)
( 4 , 41 ) (21, 101, 192)
( 4 , 42 ) (21, 101, 192)
( 4 , 43 ) (21, 101, 192)
( 4 , 44 ) (0, 0, 0)
( 4 , 45 ) (0, 0, 0)
( 4 , 46 ) (0, 0, 0)
( 4 , 47 ) (0, 0, 0)
( 5 , 0 ) (0, 0, 0)
( 5 , 1 ) (0, 0, 0)
( 5 , 2 ) (0, 0, 0)
( 5 , 3 ) (0, 0, 0)
( 5 , 4 ) (255, 193, 7)
( 5 , 5 ) (255, 193, 7)
( 5 , 6 ) (255, 193, 7)
( 5 , 7 ) (255, 193, 7)
( 5 , 8 ) (255, 193, 7)
( 5 , 9 ) (255, 193, 7)
( 5 , 10 ) (255, 193, 7)
( 5 , 11 ) (255, 193, 7)
( 5 , 12 ) (252, 185, 6)
( 5 , 13 ) (229, 122, 2)
( 5 , 14 ) (255, 193, 7)
( 5 , 15 ) (255, 193, 7)
( 5 , 16 ) (0, 0, 0)
( 5 , 17 ) (0, 0, 0)
( 5 , 18 ) (124, 179, 66)
( 5 , 19 ) (124, 179, 66)
( 5 , 20 ) (124, 179, 66)
( 5 , 21 ) (124, 179, 66)
( 5 , 22 ) (124, 179, 66)
( 5 , 23 ) (124, 179, 66)
( 5 , 24 ) (124, 179, 66)
( 5 , 25 ) (124, 179, 66)
( 5 , 26 ) (124, 179, 66)
( 5 , 27 ) (124, 179, 66)
( 5 , 28 ) (124, 179, 66)
( 5 , 29 ) (124, 179, 66)
( 5 , 30 ) (0, 0, 0)
( 5 , 31 ) (0, 0, 0)
( 5 , 32 ) (21, 101, 192)
( 5 , 33 ) (21, 101, 192)
( 5 , 34 ) (21, 101, 192)
( 5 , 35 ) (21, 101, 192)
( 5 , 36 ) (21, 101, 192)
( 5 , 37 ) (27, 104, 187)
( 5 , 38 ) (27, 104, 187)
( 5 , 39 ) (21, 101, 192)
( 5 , 40 ) (21, 101, 192)
( 5 , 41 ) (21, 101, 192)
( 5 , 42 ) (21, 101, 192)
( 5 , 43 ) (21, 101, 192)
( 5 , 44 ) (0, 0, 0)
( 5 , 45 ) (0, 0, 0)
( 5 , 46 ) (0, 0, 0)
( 5 , 47 ) (0, 0, 0)
( 6 , 0 ) (0, 0, 0)
( 6 , 1 ) (0, 0, 0)
( 6 , 2 ) (0, 0, 0)
( 6 , 3 ) (0, 0, 0)
( 6 , 4 ) (255, 193, 7)
( 6 , 5 ) (255, 193, 7)
( 6 , 6 ) (255, 193, 7)
( 6 , 7 ) (255, 193, 7)
( 6 , 8 ) (255, 193, 7)
( 6 , 9 ) (255, 193, 7)
( 6 , 10 ) (255, 193, 7)
( 6 , 11 ) (242, 157, 5)
( 6 , 12 ) (219, 96, 1)
( 6 , 13 ) (216, 87, 0)
( 6 , 14 ) (255, 193, 7)
( 6 , 15 ) (255, 193, 7)
( 6 , 16 ) (0, 0, 0)
( 6 , 17 ) (0, 0, 0)
( 6 , 18 ) (124, 179, 66)
( 6 , 19 ) (124, 179, 66)
( 6 , 20 ) (124, 179, 66)
( 6 , 21 ) (194, 220, 167)
( 6 , 22 ) (250, 252, 248)
( 6 , 23 ) (193, 219, 165)
( 6 , 24 ) (194, 220, 167)
( 6 , 25 ) (250, 252, 248)
( 6 , 26 ) (193, 219, 166)
( 6 , 27 ) (124, 179, 66)
( 6 , 28 ) (124, 179, 66)
( 6 , 29 ) (124, 179, 66)
( 6 , 30 ) (0, 0, 0)
( 6 , 31 ) (0, 0, 0)
( 6 , 32 ) (21, 101, 192)
( 6 , 33 ) (21, 101, 192)
( 6 , 34 ) (21, 101, 192)
( 6 , 35 ) (21, 101, 192)
( 6 , 36 ) (27, 104, 187)
( 6 , 37 ) (184, 165, 63)
( 6 , 38 ) (184, 165, 63)
( 6 , 39 ) (27, 104, 187)
( 6 , 40 ) (21, 101, 192)
( 6 , 41 ) (21, 101, 192)
( 6 , 42 ) (21, 101, 192)
( 6 , 43 ) (21, 101, 192)
( 6 , 44 ) (0, 0, 0)
( 6 , 45 ) (0, 0, 0)
( 6 , 46 ) (0, 0, 0)
( 6 , 47 ) (0, 0, 0)
( 7 , 0 ) (0, 0, 0)
( 7 , 1 ) (0, 0, 0)
( 7 , 2 ) (0, 0, 0)
( 7 , 3 ) (0, 0, 0)
( 7 , 4 ) (255, 193, 7)
( 7 , 5 ) (255, 193, 7)
( 7 , 6 ) (255, 193, 7)
( 7 , 7 ) (255, 193, 7)
( 7 , 8 ) (255, 193, 7)
( 7 , 9 ) (252, 185, 6)
( 7 , 10 ) (229, 122, 2)
( 7 , 11 ) (216, 87, 0)
( 7 , 12 ) (216, 87, 0)
( 7 , 13 ) (216, 87, 0)
( 7 , 14 ) (255, 193, 7)
( 7 , 15 ) (255, 193, 7)
( 7 , 16 ) (0, 0, 0)
( 7 , 17 ) (0, 0, 0)
( 7 , 18 ) (124, 179, 66)
( 7 , 19 ) (124, 179, 66)
( 7 , 20 ) (124, 179, 66)
( 7 , 21 ) (249, 252, 247)
( 7 , 22 ) (255, 255, 255)
( 7 , 23 ) (250, 252, 248)
( 7 , 24 ) (251, 253, 249)
( 7 , 25 ) (255, 255, 255)
( 7 , 26 ) (248, 251, 245)
( 7 , 27 ) (124, 179, 66)
( 7 , 28 ) (124, 179, 66)
( 7 , 29 ) (124, 179, 66)
( 7 , 30 ) (0, 0, 0)
( 7 , 31 ) (0, 0, 0)
( 7 , 32 ) (21, 101, 192)
( 7 , 33 ) (21, 101, 192)
( 7 , 34 ) (21, 101, 192)
( 7 , 35 ) (255, 193, 7)
( 7 , 36 ) (255, 193, 7)
( 7 , 37 ) (255, 193, 7)
( 7 , 38 ) (255, 193, 7)
( 7 , 39 ) (255, 193, 7)
( 7 , 40 ) (255, 193, 7)
( 7 , 41 ) (21, 101, 192)
( 7 , 42 ) (21, 101, 192)
( 7 , 43 ) (21, 101, 192)
( 7 , 44 ) (0, 0, 0)
( 7 , 45 ) (0, 0, 0)
( 7 , 46 ) (0, 0, 0)
( 7 , 47 ) (0, 0, 0)
( 8 , 0 ) (0, 0, 0)
( 8 , 1 ) (0, 0, 0)
( 8 , 2 ) (0, 0, 0)
( 8 , 3 ) (0, 0, 0)
( 8 , 4 ) (255, 193, 7)
( 8 , 5 ) (255, 193, 7)
( 8 , 6 ) (255, 193, 7)
( 8 , 7 ) (255, 193, 7)
( 8 , 8 ) (250, 179, 6)
( 8 , 9 ) (220, 96, 1)
( 8 , 10 ) (216, 87, 0)
( 8 , 11 ) (216, 87, 0)
( 8 , 12 ) (216, 87, 0)
( 8 , 13 ) (216, 87, 0)
( 8 , 14 ) (255, 193, 7)
( 8 , 15 ) (255, 193, 7)
( 8 , 16 ) (0, 0, 0)
( 8 , 17 ) (0, 0, 0)
( 8 , 18 ) (124, 179, 66)
( 8 , 19 ) (125, 179, 67)
( 8 , 20 ) (167, 204, 128)
( 8 , 21 ) (206, 227, 185)
( 8 , 22 ) (253, 254, 253)
( 8 , 23 ) (255, 234, 170)
( 8 , 24 ) (255, 231, 161)
( 8 , 25 ) (253, 253, 250)
( 8 , 26 ) (207, 227, 186)
( 8 , 27 ) (167, 204, 128)
( 8 , 28 ) (125, 179, 67)
( 8 , 29 ) (124, 179, 66)
( 8 , 30 ) (0, 0, 0)
( 8 , 31 ) (0, 0, 0)
( 8 , 32 ) (21, 101, 192)
( 8 , 33 ) (21, 101, 192)
( 8 , 34 ) (27, 104, 187)
( 8 , 35 ) (255, 193, 7)
( 8 , 36 ) (255, 209, 71)
( 8 , 37 ) (255, 242, 201)
( 8 , 38 ) (255, 242, 201)
( 8 , 39 ) (255, 209, 69)
( 8 , 40 ) (255, 193, 7)
( 8 , 41 ) (27, 104, 187)
( 8 , 42 ) (21, 101, 192)
( 8 , 43 ) (21, 101, 192)
( 8 , 44 ) (0, 0, 0)
( 8 , 45 ) (0, 0, 0)
( 8 , 46 ) (0, 0, 0)
( 8 , 47 ) (0, 0, 0)
( 9 , 0 ) (0, 0, 0)
( 9 , 1 ) (0, 0, 0)
( 9 , 2 ) (0, 0, 0)
( 9 , 3 ) (0, 0, 0)
( 9 , 4 ) (255, 193, 7)
( 9 , 5 ) (255, 193, 7)
( 9 , 6 ) (255, 193, 7)
( 9 , 7 ) (255, 193, 7)
( 9 , 8 ) (255, 193, 7)
( 9 , 9 ) (244, 164, 5)
( 9 , 10 ) (220, 98, 1)
( 9 , 11 ) (216, 87, 0)
( 9 , 12 ) (216, 87, 0)
( 9 , 13 ) (219, 92, 0)
( 9 , 14 ) (255, 193, 7)
( 9 , 15 ) (255, 193, 7)
( 9 , 16 ) (0, 0, 0)
( 9 , 17 ) (0, 0, 0)
( 9 , 18 ) (124, 179, 66)
( 9 , 19 ) (171, 206, 133)
( 9 , 20 ) (255, 255, 255)
( 9 , 21 ) (255, 255, 255)
( 9 , 22 ) (246, 230, 165)
( 9 , 23 ) (255, 193, 7)
( 9 , 24 ) (255, 193, 7)
( 9 , 25 ) (247, 224, 142)
( 9 , 26 ) (255, 255, 255)
( 9 , 27 ) (255, 255, 255)
( 9 , 28 ) (170, 206, 132)
( 9 , 29 ) (124, 179, 66)
( 9 , 30 ) (0, 0, 0)
( 9 , 31 ) (0, 0, 0)
( 9 , 32 ) (21, 101, 192)
( 9 , 33 ) (28, 104, 186)
( 9 , 34 ) (185, 165, 62)
( 9 , 35 ) (255, 193, 7)
( 9 , 36 ) (255, 242, 202)
( 9 , 37 ) (255, 248, 225)
( 9 , 38 ) (255, 248, 225)
( 9 , 39 ) (255, 242, 201)
( 9 , 40 ) (255, 193, 7)
( 9 , 41 ) (183, 165, 64)
( 9 , 42 ) (27, 103, 187)
( 9 , 43 ) (21, 101, 192)
( 9 , 44 ) (0, 0, 0)
( 9 , 45 ) (0, 0, 0)
( 9 , 46 ) (0, 0, 0)
( 9 , 47 ) (0, 0, 0)
( 10 , 0 ) (0, 0, 0)
( 10 , 1 ) (0, 0, 0)
( 10 , 2 ) (0, 0, 0)
( 10 , 3 ) (0, 0, 0)
( 10 , 4 ) (255, 193, 7)
( 10 , 5 ) (255, 193, 7)
( 10 , 6 ) (255, 193, 7)
( 10 , 7 ) (255, 193, 7)
( 10 , 8 ) (255, 193, 7)
( 10 , 9 ) (255, 193, 7)
( 10 , 10 ) (253, 186, 7)
( 10 , 11 ) (231, 129, 3)
( 10 , 12 ) (224, 100, 1)
( 10 , 13 ) (238, 124, 3)
( 10 , 14 ) (255, 193, 7)
( 10 , 15 ) (255, 193, 7)
( 10 , 16 ) (0, 0, 0)
( 10 , 17 ) (0, 0, 0)
( 10 , 18 ) (124, 179, 66)
( 10 , 19 ) (170, 206, 133)
( 10 , 20 ) (255, 255, 255)
( 10 , 21 ) (255, 255, 255)
( 10 , 22 ) (246, 230, 165)
( 10 , 23 ) (255, 193, 7)
( 10 , 24 ) (255, 193, 7)
( 10 , 25 ) (247, 224, 141)
( 10 , 26 ) (255, 255, 255)
( 10 , 27 ) (255, 255, 255)
( 10 , 28 ) (170, 206, 132)
( 10 , 29 ) (124, 179, 66)
( 10 , 30 ) (0, 0, 0)
( 10 , 31 ) (0, 0, 0)
( 10 , 32 ) (21, 101, 192)
( 10 , 33 ) (28, 104, 186)
( 10 , 34 ) (191, 168, 58)
( 10 , 35 ) (255, 193, 7)
( 10 , 36 ) (255, 242, 201)
( 10 , 37 ) (255, 248, 225)
( 10 , 38 ) (255, 248, 225)
( 10 , 39 ) (255, 242, 200)
( 10 , 40 ) (255, 193, 7)
( 10 , 41 ) (189, 168, 59)
( 10 , 42 ) (27, 103, 187)
( 10 , 43 ) (21, 101, 192)
( 10 , 44 ) (0, 0, 0)
( 10 , 45 ) (0, 0, 0)
( 10 , 46 ) (0, 0, 0)
( 10 , 47 ) (0, 0, 0)
( 11 , 0 ) (0, 0, 0)
( 11 , 1 ) (0, 0, 0)
( 11 , 2 ) (0, 0, 0)
( 11 , 3 ) (0, 0, 0)
( 11 , 4 ) (255, 193, 7)
( 11 , 5 ) (255, 193, 7)
( 11 , 6 ) (255, 223, 106)
( 11 , 7 ) (255, 246, 187)
( 11 , 8 ) (255, 222, 105)
( 11 , 9 ) (255, 193, 7)
( 11 , 10 ) (255, 191, 7)
( 11 , 11 ) (246, 154, 5)
( 11 , 12 ) (239, 126, 3)
( 11 , 13 ) (239, 126, 3)
( 11 , 14 ) (255, 193, 7)
( 11 , 15 ) (255, 193, 7)
( 11 , 16 ) (0, 0, 0)
( 11 , 17 ) (0, 0, 0)
( 11 , 18 ) (124, 179, 66)
( 11 , 19 ) (125, 179, 67)
( 11 , 20 ) (167, 204, 128)
( 11 , 21 ) (207, 227, 185)
( 11 , 22 ) (254, 254, 254)
( 11 , 23 ) (255, 234, 172)
( 11 , 24 ) (255, 232, 162)
( 11 , 25 ) (254, 253, 251)
( 11 , 26 ) (207, 227, 186)
( 11 , 27 ) (167, 204, 128)
( 11 , 28 ) (125, 179, 67)
( 11 , 29 ) (124, 179, 66)
( 11 , 30 ) (0, 0, 0)
( 11 , 31 ) (0, 0, 0)
( 11 , 32 ) (21, 101, 192)
( 11 , 33 ) (21, 101, 192)
( 11 , 34 ) (28, 104, 186)
( 11 , 35 ) (255, 193, 7)
( 11 , 36 ) (255, 209, 69)
( 11 , 37 ) (255, 242, 200)
( 11 , 38 ) (255, 242, 200)
( 11 , 39 ) (255, 209, 69)
( 11 , 40 ) (255, 193, 7)
( 11 , 41 ) (28, 104, 186)
( 11 , 42 ) (21, 101, 192)
( 11 , 43 ) (21, 101, 192)
( 11 , 44 ) (0, 0, 0)
( 11 , 45 ) (0, 0, 0)
( 11 , 46 ) (0, 0, 0)
( 11 , 47 ) (0, 0, 0)
( 12 , 0 ) (0, 0, 0)
( 12 , 1 ) (0, 0, 0)
( 12 , 2 ) (0, 0, 0)
( 12 , 3 ) (0, 0, 0)
( 12 , 4 ) (255, 193, 7)
( 12 , 5 ) (255, 193, 7)
( 12 , 6 ) (255, 246, 188)
( 12 , 7 ) (255, 249, 196)
( 12 , 8 ) (255, 246, 187)
( 12 , 9 ) (255, 193, 7)
( 12 , 10 ) (251, 175, 6)
( 12 , 11 ) (239, 128, 3)
( 12 , 12 ) (239, 126, 3)
( 12 , 13 ) (239, 126, 3)
( 12 , 14 ) (255, 193, 7)
( 12 , 15 ) (255, 193, 7)
( 12 , 16 ) (0, 0, 0)
( 12 , 17 ) (0, 0, 0)
( 12 , 18 ) (124, 179, 66)
( 12 , 19 ) (124, 179, 66)
( 12 , 20 ) (124, 179, 66)
( 12 , 21 ) (249, 252, 247)
( 12 , 22 ) (255, 255, 255)
( 12 , 23 ) (250, 252, 248)
( 12 , 24 ) (251, 253, 249)
( 12 , 25 ) (255, 255, 255)
( 12 , 26 ) (248, 251, 245)
( 12 , 27 ) (124, 179, 66)
( 12 , 28 ) (124, 179, 66)
( 12 , 29 ) (124, 179, 66)
( 12 , 30 ) (0, 0, 0)
( 12 , 31 ) (0, 0, 0)
( 12 , 32 ) (21, 101, 192)
( 12 , 33 ) (21, 101, 192)
( 12 , 34 ) (21, 101, 192)
( 12 , 35 ) (255, 193, 7)
( 12 , 36 ) (255, 193, 7)
( 12 , 37 ) (255, 193, 7)
( 12 , 38 ) (255, 193, 7)
( 12 , 39 ) (255, 193, 7)
( 12 , 40 ) (255, 193, 7)
( 12 , 41 ) (21, 101, 192)
( 12 , 42 ) (21, 101, 192)
( 12 , 43 ) (21, 101, 192)
( 12 , 44 ) (0, 0, 0)
( 12 , 45 ) (0, 0, 0)
( 12 , 46 ) (0, 0, 0)
( 12 , 47 ) (0, 0, 0)
( 13 , 0 ) (0, 0, 0)
( 13 , 1 ) (0, 0, 0)
( 13 , 2 ) (0, 0, 0)
( 13 , 3 ) (0, 0, 0)
( 13 , 4 ) (255, 193, 7)
( 13 , 5 ) (255, 193, 7)
( 13 , 6 ) (255, 222, 105)
( 13 , 7 ) (255, 246, 186)
( 13 , 8 ) (255, 222, 104)
( 13 , 9 ) (255, 193, 7)
( 13 , 10 ) (255, 193, 7)
( 13 , 11 ) (252, 180, 7)
( 13 , 12 ) (241, 136, 4)
( 13 , 13 ) (239, 126, 3)
( 13 , 14 ) (255, 193, 7)
( 13 , 15 ) (255, 193, 7)
( 13 , 16 ) (0, 0, 0)
( 13 , 17 ) (0, 0, 0)
( 13 , 18 ) (124, 179, 66)
( 13 , 19 ) (124, 179, 66)
( 13 , 20 ) (124, 179, 66)
( 13 , 21 ) (193, 219, 166)
( 13 , 22 ) (248, 251, 245)
( 13 , 23 ) (192, 218, 164)
( 13 , 24 ) (193, 219, 165)
( 13 , 25 ) (248, 251, 245)
( 13 , 26 ) (192, 219, 165)
( 13 , 27 ) (124, 179, 66)
( 13 , 28 ) (124, 179, 66)
( 13 , 29 ) (124, 179, 66)
( 13 , 30 ) (0, 0, 0)
( 13 , 31 ) (0, 0, 0)
( 13 , 32 ) (21, 101, 192)
( 13 , 33 ) (21, 101, 192)
( 13 , 34 ) (21, 101, 192)
( 13 , 35 ) (21, 101, 192)
( 13 , 36 ) (28, 104, 186)
( 13 , 37 ) (191, 168, 58)
( 13 , 38 ) (189, 168, 59)
( 13 , 39 ) (28, 104, 186)
( 13 , 40 ) (21, 101, 192)
( 13 , 41 ) (21, 101, 192)
( 13 , 42 ) (21, 101, 192)
( 13 , 43 ) (21, 101, 192)
( 13 , 44 ) (0, 0, 0)
( 13 , 45 ) (0, 0, 0)
( 13 , 46 ) (0, 0, 0)
( 13 , 47 ) (0, 0, 0)
( 14 , 0 ) (0, 0, 0)
( 14 , 1 ) (0, 0, 0)
( 14 , 2 ) (0, 0, 0)
( 14 , 3 ) (0, 0, 0)
( 14 , 4 ) (255, 193, 7)
( 14 , 5 ) (255, 193, 7)
( 14 , 6 ) (255, 193, 7)
( 14 , 7 ) (255, 193, 7)
( 14 , 8 ) (255, 193, 7)
( 14 , 9 ) (255, 193, 7)
( 14 , 10 ) (255, 193, 7)
( 14 , 11 ) (255, 193, 7)
( 14 , 12 ) (254, 189, 7)
( 14 , 13 ) (245, 152, 5)
( 14 , 14 ) (255, 193, 7)
( 14 , 15 ) (255, 193, 7)
( 14 , 16 ) (0, 0, 0)
( 14 , 17 ) (0, 0, 0)
( 14 , 18 ) (124, 179, 66)
( 14 , 19 ) (124, 179, 66)
( 14 , 20 ) (124, 179, 66)
( 14 , 21 ) (124, 179, 66)
( 14 , 22 ) (124, 179, 66)
( 14 , 23 ) (124, 179, 66)
( 14 , 24 ) (124, 179, 66)
( 14 , 25 ) (124, 179, 66)
( 14 , 26 ) (124, 179, 66)
